,verifikasi_skm,tata_cara_pembayaran,permasalahan_sibaku,pengambilan_ijazah_non_prosesi,daftar_ulang,bantuan_ukt,sisa_tagihan_50,pengajuan_transkrip_keperluan_beasiswa_mhs_do_semhas_validasi_kps_dll,form_pasca_ujian_skripsi,peminjaman_ijazah,perubahan_judul_skripsi,foto_yudisium_sc218,registrasi_mahasiswa_lama,tahapan_pendaftaran_wisuda,pengambilan_ktm,perihal_kehilangan_transkrip_nilai_kuliah,layanan,kriteria_50,bantuan_ukt_dan_ukt_kemendikbud_ristek,ktm_tersedia,pengajuan_bantuan,pengambilan_sertifikat_toefl,surat_rekomendasi_beasiswa,dosen_pembimbing_ujian_skripsi_tidak_hadir_salah_satu,pencairan_saldo_ukt,kip_kuliah,tidak_dapat_upload_berkas_yudisium,bebas_pustaka_ub,pendaftaran_seminar_hasil_ujian_skripsi_filkom_ub,revisi_skripsi,foto_yudisium,turnitin,sapaan,perubahan_judul_skripsi_filkom_apps,legalisir_ijazah,cara_daftar_bantuan_kemendikbud_ristek,perkuliahan_hybrid,proposal_skripsi_di_luar_jadwal_jtif,cek_siam_untuk_tagihan,surat_aktif_kuliah,kkn_2020,terlambat_pengajuan_bantuan,kip_k,turnitin_prasyarat_sd_melihat_hasil_turnitin,rekomendasi_magang_dan_mbkm,perpindahan_prodi_akreditasi_b_ke_a,pencairan_beasiswa_kemendikbud,angsur_sap,yudisium,banding_ukt_mahasiswa,layanan_ruang_baca_filkom_ub,pendaftaran_yudisium_filkom_ub,presensi_perkuliahan,surat_pengantar_penelitian_skripsi,pembatalan_mk_pkl_skripsi,rekomendasi_magang_mandiri_dan_mbkm,pendataan_kelas_penuh,ukt_mhs_ujian_skripsi_belum_yudisium_selain_kritis,penambahan_sks_melebihi_batas_maksimum_mk_dari_ip_beban_jtif,pengajuan_st_dospem_dan_reward_prestasi,pengajuan_proposal_skripsi_di_luar_jadwal_jtif,transkrip_legalisir
layanan_ruang_baca_filkom_ub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pendaftaran_yudisium_filkom_ub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
presensi_perkuliahan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
surat_pengantar_penelitian_skripsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
pembatalan_mk_pkl_skripsi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
rekomendasi_magang_mandiri_dan_mbkm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
pendataan_kelas_penuh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ukt_mhs_ujian_skripsi_belum_yudisium_selain_kritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0
penambahan_sks_melebihi_batas_maksimum_mk_dari_ip_beban_jtif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
pengajuan_st_dospem_dan_reward_prestasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pengajuan_proposal_skripsi_di_luar_jadwal_jtif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
transkrip_legalisir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
